MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"1,559,025.00",519675,2078700,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"29,460,653,775.00",9820217924,39280871699,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,"2,932,983.00",977661,3910644,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"1,143,792,672.00",1166899595,2310692267,495.00%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"3,393,837,705.00",11312792349,45251169399,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"127,767,399.00",4258913299,17035653199,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"1,559,025.00",519675,2078700,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"29,460,653,775.00",9820217924,39280871699,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,"2,932,983.00",977661,3910644,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,"730,125.00",744875,1475000,495.00%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,"259,402.00",2646424,5240444,495.00%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,"383,901,342.00",3916569247,7755582667,495.00%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,"7,781,760.00",2593920,10375680,75%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","6,108,531.00",623193567,1234046667,495.00%,,
CZ,Czech Republic,2014CZ06RDNP001,31,Czech Republic - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"115,283,701.00",6484708182,18013078282,64%,,
CZ,Czech Republic,2014CZ14MFOP001,2,Maritime and Fisheries - Czech Republic,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,"21,198,975.00",683681466,2803578966,7561.00%,,
CZ,Czech Republic,2014CZ14MFOP001,2,Maritime and Fisheries - Czech Republic,EMFF,,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,"8,201,740.00",264511734,1084685734,7561.00%,,
CZ,Czech Republic,2014CZ16M1OP001,4,Transport - ERDF/CF,CF,1,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,"2,395,964,680.00",422817297,2818781977,85%,,
CZ,Czech Republic,2014CZ16M1OP001,4,Transport - ERDF/CF,CF,2,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,"1,253,288,442.00",221168549,1474456991,85%,,
CZ,Czech Republic,2014CZ16M1OP001,4,Transport - ERDF/CF,CF,4,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,"70,436,542.00",12429978,82866520,85%,,
CZ,Czech Republic,2014CZ16M1OP001,4,Transport - ERDF/CF,ERDF,3,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"902,317,139.00",159232437,1061549576,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,1,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,VOID,VOID,VOID,VOID,"307,506,873.00",54265919,361772792,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,1,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,"498,141,626.00",87907346,586048972,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,2,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,"490,700,381.00",86594185,577294566,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,3,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,VOID,VOID,VOID,VOID,"115,468,727.00",20376834,135845561,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,3,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,"320,262,317.00",56516880,376779197,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,VOID,VOID,VOID,VOID,"509,626,952.00",89934168,599561120,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,CF,6,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,"73,824,600.00",13027871,86852471,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,ERDF,3,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,"23,088,951.00",4074521,27163472,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,ERDF,4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,"351,735,069.00",62070895,413805964,85%,,
CZ,Czech Republic,2014CZ16M1OP002,2,Environment  - ERDF/CF,ERDF,5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"20,000,000.00",3529412,23529412,85%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"62,492,932.00",62492932,124985864,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ERDF,2,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"60,477,031.00",60477031,120954062,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ERDF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"12,498,586.00",12498586,24997172,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ERDF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"18,143,110.00",18143110,36286220,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"13,304,947.00",13304947,26609894,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ESF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"23,586,042.00",23586042,47172084,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"3,023,852.00",3023852,6047704,50%,,
CZ,Czech Republic,2014CZ16M2OP001,2,Prague Growth Pole - ERDF/ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"8,063,604.00",8063604,16127208,50%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,"1,352,544,411.00",1352480177,2705024588,50%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,"892,130,143.00",429058701,1321188844,6752.00%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"1,017,295,959.00",948897527,1966193486,5174.00%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,3,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"199,833,699.00",186397774,386231473,5174.00%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"743,657,589.00",672089636,1415747225,5253.00%,,
CZ,Czech Republic,2014CZ16RFOP001,2,Enterprise and Innovation for Competitiveness - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"125,600,816.00",22164850,147765666,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,1,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,"150,551,052.00",26567833,177118885,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,1,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"1,417,594,427.00",250163723,1667758150,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"472,531,476.00",83387908,555919384,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,2,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"622,796,485.00",109905263,732701748,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"646,854,295.00",114150757,761005052,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,3,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,"46,406,994.00",8189469,54596463,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,3,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"306,098,233.00",54017335,360115568,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,3,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"24,149,612.00",24149612,48299224,50%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,3,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,"425,278,328.00",75049118,500327446,85%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"389,563,642.00",20503350,410066992,95%,,
CZ,Czech Republic,2014CZ16RFOP002,12,Integrated Regional Programme - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"138,874,827.00",24507323,163382150,85%,,
DE,Germany,2014DE05SFOP001,11,Schleswig-Holstein  - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"20,340,426.00",20543257,40883683,4975.00%,,
DE,Germany,2014DE05SFOP001,11,Schleswig-Holstein  - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"17,771,051.00",18873179,36644230,485.00%,,
DE,Germany,2014DE05SFOP001,11,Schleswig-Holstein  - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"47,127,660.00",64574467,111702127,4219.00%,,
DE,Germany,2014DE05SFOP001,11,Schleswig-Holstein  - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"3,551,630.00",8450000,12001630,2959.00%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"465,486,807.00",465486807,930973614,50%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"208,304,398.00",55188712,263493110,7905.00%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"739,858,338.00",739858338,1479716676,50%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"285,330,311.00",75596158,360926469,7905.00%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"659,526,037.00",659526037,1319052074,50%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"223,241,208.00",59146109,282387317,7905.00%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"77,702,965.00",77702965,155405930,50%,,
DE,Germany,2014DE05SFOP002,14,Federal Germany - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"29,869,829.00",7913791,37783620,7905.00%,,
DE,Germany,2014DE05SFOP003,13,Baden-Württemberg - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"119,260,490.00",119260490,238520980,50%,,
DE,Germany,2014DE05SFOP003,13,Baden-Württemberg - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"62,551,387.00",62551388,125102775,50%,,
DE,Germany,2014DE05SFOP003,13,Baden-Württemberg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"67,458,907.00",67458907,134917814,50%,,
DE,Germany,2014DE05SFOP003,13,Baden-Württemberg - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"10,386,282.00",10386282,20772564,50%,,
DE,Germany,2014DE05SFOP004,11,Bayern - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"157,163,443.00",157163443,314326886,50%,,
DE,Germany,2014DE05SFOP004,11,Bayern - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"78,600,000.00",78600000,157200000,50%,,
DE,Germany,2014DE05SFOP004,11,Bayern - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"50,200,000.00",50200000,100400000,50%,,
DE,Germany,2014DE05SFOP004,11,Bayern - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"11,915,143.00",11915143,23830286,50%,,
DE,Germany,2014DE05SFOP005,11,Berlin - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"53,144,783.00",53144783,106289566,50%,,
DE,Germany,2014DE05SFOP005,11,Berlin - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"58,056,355.00",58056355,116112710,50%,,
DE,Germany,2014DE05SFOP005,11,Berlin - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"95,283,911.00",95283911,190567822,50%,,
DE,Germany,2014DE05SFOP005,11,Berlin - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"8,603,543.00",8603543,17207086,50%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"62,500,000.00",15625000,78125000,80%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"72,501,600.00",18125400,90627000,80%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"205,920,185.00",51480048,257400233,80%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"14,496,741.00",3624186,18120927,80%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,E,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"3,800,000.00",422222,4222222,90%,,
DE,Germany,2014DE05SFOP006,13,Brandenburg - ESF,ESF,E,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"3,200,000.00",355556,3555556,90%,,
DE,Germany,2014DE16RFOP013,12,Sachsen-Anhalt - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"57,099,808.00",14274952,71374760,80%,,
DE,Germany,2014DE05SFOP007,11,Hamburg - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"30,019,688.00",30019688,60039376,50%,,
DE,Germany,2014DE05SFOP007,11,Hamburg - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"20,263,290.00",20263290,40526580,50%,,
DE,Germany,2014DE05SFOP007,11,Hamburg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"24,766,243.00",24766243,49532486,50%,,
DE,Germany,2014DE05SFOP007,11,Hamburg - ESF,ESF,TH,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"3,127,050.00",3127050,6254100,50%,,
DE,Germany,2014DE05SFOP008,12,Hessen - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"78,016,590.00",78016590,156033180,50%,,
DE,Germany,2014DE05SFOP008,12,Hessen - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"87,299,794.00",87299794,174599588,50%,,
DE,Germany,2014DE05SFOP008,12,Hessen - ESF,ESF,TH,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"6,888,182.00",6888182,13776364,50%,,
DE,Germany,2014DE05SFOP009,16,Mecklenburg-Vorpommern - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"112,291,400.00",28072850,140364250,80%,,
DE,Germany,2014DE05SFOP009,16,Mecklenburg-Vorpommern - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"107,273,000.00",26818250,134091250,80%,,
DE,Germany,2014DE05SFOP009,16,Mecklenburg-Vorpommern - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"149,641,111.00",37410278,187051389,80%,,
DE,Germany,2014DE05SFOP009,16,Mecklenburg-Vorpommern - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"15,383,562.00",3845891,19229453,80%,,
DE,Germany,2014DE05SFOP010,14,Nordrhein-Westfalen - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"294,000,280.00",294000280,588000560,50%,,
DE,Germany,2014DE05SFOP010,14,Nordrhein-Westfalen - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"193,920,185.00",193920185,387840370,50%,,
DE,Germany,2014DE05SFOP010,14,Nordrhein-Westfalen - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"114,000,108.00",114000108,228000216,50%,,
DE,Germany,2014DE05SFOP010,14,Nordrhein-Westfalen - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"25,080,023.00",25080023,50160046,50%,,
DE,Germany,2014DE05SFOP011,13,Saarland - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"16,305,000.00",16305000,32610000,50%,,
DE,Germany,2014DE05SFOP011,13,Saarland - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"39,788,868.00",39788868,79577736,50%,,
DE,Germany,2014DE05SFOP011,13,Saarland - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"14,900,000.00",14900000,29800000,50%,,
DE,Germany,2014DE05SFOP011,13,Saarland - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"2,958,077.00",2958077,5916154,50%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"26,006,527.00",6501632,32508159,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,A,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"157,343,246.00",39335813,196679059,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"32,547,677.00",8136920,40684597,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,B,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"173,577,319.00",43394330,216971649,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"37,487,283.00",9371821,46859104,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"209,231,539.00",52307886,261539425,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"4,001,728.00",1000432,5002160,80%,,
DE,Germany,2014DE05SFOP012,13,Sachsen - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"22,506,338.00",5626585,28132923,80%,,
