MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,"225,000.00","39,705.88","264,705.88",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"2,500,000.00","441,176.47","2,941,176.47",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,"1,081,318.00","190,820.82","1,272,138.82",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,"81,318.00","14,350.24","95,668.24",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,"81,318.00","14,350.24","95,668.24",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,"81,319.00","14,350.41","95,669.41",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,"286,347.00","31,816.33","318,163.33",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,"286,347.00","31,816.33","318,163.33",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5D,Reducing GHG and NH3,"286,347.00","31,816.33","318,163.33",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,"286,347.00","31,816.33","318,163.33",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,"1,000,000.00","176,470.59","1,176,470.59",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,"500,000.00","88,235.29","588,235.29",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,"1,322,338.00","233,353.76","1,555,691.76",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,"1,020,000.00","180,000.00","1,200,000.00",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,"33,400,000.00","5,894,117.65","39,294,117.65",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation","438,468.00","77,376.71","515,844.71",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,"500,000.00","55,555.56","555,555.56",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation","286,348.00","31,816.44","318,164.44",90%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,"500,000.00","88,235.29","588,235.29",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","6,500,000.00","1,147,058.82","7,647,058.82",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"6,580,000.00","1,161,176.47","7,741,176.47",85%
FR,France,2014FR06RDRP001,2.2,Guadeloupe - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"9,255,086.00","1,028,342.89","10,283,428.89",90%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"4,804,656.00","847,880.47","5,652,536.47",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"6,000,000.00","1,058,823.53","7,058,823.53",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"11,000,000.00","1,941,176.47","12,941,176.47",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,"1,000,000.00","176,470.59","1,176,470.59",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"5,000,000.00","882,352.94","5,882,352.94",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"26,900,000.00","4,747,058.82","31,647,058.82",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2B,New farmers,"9,000,000.00","1,588,235.29","10,588,235.29",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"3,200,000.00","564,705.88","3,764,705.88",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"4,600,000.00","811,764.71","5,411,764.71",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"500,000.00","88,235.29","588,235.29",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"500,000.00","88,235.29","588,235.29",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"7,000,000.00","1,235,294.12","8,235,294.12",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,"1,000,000.00","176,470.59","1,176,470.59",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"50,000.00","8,823.53","58,823.53",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"1,000,000.00","176,470.59","1,176,470.59",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"700,000.00","123,529.41","823,529.41",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"3,500,000.00","617,647.06","4,117,647.06",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"250,000.00","44,117.65","294,117.65",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"4,000,000.00","705,882.35","4,705,882.35",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"50,000.00","8,823.53","58,823.53",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,"1,000,000.00","176,470.59","1,176,470.59",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,"700,000.00","123,529.41","823,529.41",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"3,500,000.00","617,647.06","4,117,647.06",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"250,000.00","44,117.65","294,117.65",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"4,000,000.00","705,882.35","4,705,882.35",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,"5,000,000.00","882,352.94","5,882,352.94",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,"4,395,344.00","775,648.94","5,170,992.94",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation","3,200,000.00","564,705.88","3,764,705.88",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M08,Forest,FA_6A,"Diversification, SMEs and job creation","1,350,000.00","238,235.29","1,588,235.29",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"9,700,000.00","1,711,764.71","11,411,764.71",85%
FR,France,2014FR06RDRP002,1.4,Martinique - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"7,050,000.00","1,244,117.65","8,294,117.65",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"4,139,919.00","730,573.94","4,870,492.94",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"1,320,000.00","232,941.18","1,552,941.18",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,"345,000.00","60,882.35","405,882.35",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2C+,Programme Specific (1),"245,000.00","43,235.29","288,235.29",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"4,105,000.00","724,411.76","4,829,411.76",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2C+,Programme Specific (1),"3,000,000.00","529,411.76","3,529,411.76",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"4,335,000.00","765,000.00","5,100,000.00",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2C+,Programme Specific (1),"540,000.00","95,294.12","635,294.12",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"6,901,000.00","1,217,823.53","8,118,823.53",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2B,New farmers,"8,900,000.00","1,570,588.23","10,470,588.23",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2C+,Programme Specific (1),"9,200,000.00","1,623,529.41","10,823,529.41",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"1,120,000.00","197,647.06","1,317,647.06",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"2,700,000.00","476,470.59","3,176,470.59",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M08,Forest,FA_2C+,Programme Specific (1),"2,760,000.00","487,058.82","3,247,058.82",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,"165,000.00","29,117.65","194,117.65",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"325,000.00","57,352.94","382,352.94",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"570,000.00","100,588.24","670,588.24",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"90,000.00","15,882.35","105,882.35",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"4,000,000.00","705,882.35","4,705,882.35",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"165,000.00","29,117.65","194,117.65",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"150,000.00","26,470.59","176,470.59",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"75,000.00","13,235.29","88,235.29",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"75,000.00","13,235.29","88,235.29",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"440,000.00","77,647.06","517,647.06",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,"529,500.00","93,441.18","622,941.18",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"1,970,040.50","347,654.21","2,317,694.71",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,"75,000.00","13,235.29","88,235.29",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"440,000.00","77,647.06","517,647.06",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,"529,500.00","93,441.18","622,941.18",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,"1,970,040.50","347,654.21","2,317,694.71",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,"250,000.00","44,117.65","294,117.65",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,"1,500,000.00","264,705.88","1,764,705.88",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5E,Carbon conservation / sequestration,"30,000.00","5,294.12","35,294.12",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,"2,100,000.00","370,588.24","2,470,588.24",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,"240,000.00","42,352.94","282,352.94",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5E,Carbon conservation / sequestration,"260,000.00","45,882.35","305,882.35",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,"35,770,000.00","6,312,352.94","42,082,352.94",85%
FR,France,2014FR06RDRP003,3.1,Guyane - Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,"10,670,000.00","1,882,941.18","12,552,941.18",85%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"8,400,000.00","2,800,000.00","11,200,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"4,550,517.00","1,516,839.00","6,067,356.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,"923,559.00","307,853.00","1,231,412.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"8,613,881.00","2,871,293.67","11,485,174.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"13,643,937.00","4,547,979.00","18,191,916.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,"3,065,706.00","1,021,902.00","4,087,608.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"60,320,000.00","20,106,666.66","80,426,666.66",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"3,000,000.00","1,000,000.00","4,000,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"5,670,000.00","1,890,000.00","7,560,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3A,Competitiveness of producers,"378,198.00","126,066.00","504,264.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_3B,Risk management,"1,099,395.00","366,465.00","1,465,860.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"4,797,941.00","1,599,313.67","6,397,254.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3B,Risk management,"3,667,959.00","1,222,653.00","4,890,612.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"1,255,408.00","418,469.33","1,673,877.33",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3B,Risk management,"3,649,382.00","1,216,460.67","4,865,842.67",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"24,000,000.00","8,000,000.00","32,000,000.00",75%
FR,France,2014FR06RDRP004,2.1,Réunion - Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,"2,000,000.00","666,666.67","2,666,666.67",75%
