name_link,name_link-href,former_employer_text,former_function_text,new_function_text,new_employer_text,policy_area_text,date_of_revovlivng_door_text,institutional_reaction,other_info,page,page-href
"Stefano Marino","https://corporateeurope.org/revolvingdoorwatch/cases/stefano-marino","Sigma-Tau","Director of corporate legal and intellectual property","Head of legal department","European medicines agency","Health/Medicines","June, 2013","""Mr Marino’s involvement in the activities of the Agency is determined by the job description of the Head of the Legal Service/Department. He is not involved in any legal or other issues that may involve the EMA and his former employer Sigma-Tau. In addition, Mr Marino left Sigma-Tau in March 2013. His new job at the Agency started mid-June 2013.”","Stefano Marino has had a long career working within the pharmaceutical industry before he joined the European medicines agency (EMA) in June 2013. The EMA press release which announced Marino's employment said: “He is an expert in pharmaceutical and corporate law with a long career as legal counsel and member of senior management committees, most recently as Director of Corporate Legal and Intellectual Property at Sigma-Tau, a position that he held from 1997. He was also Chairman of the Trademark Committee at the European Federation of Pharmaceutical Industries and Associations (EFPIA) from 2005.”","",""
"Nikos Lavranos","https://corporateeurope.org/revolvingdoorwatch/cases/nikos-lavranos","Dutch ministry of economic affairs, agriculture & innovation","Senior policy advisor on trade","Secretary-general","European federation for investment law and arbitration (EFILA)","Trade","July, 2014","There is no revolving door policy for departing Dutch civil servants. Employees are free to take up any new position once they've served their notice period. You can read the exchange of letters with the Dutch government on this matter here and here.","Until July 2014, Dr Nikos Lavranos was working for the Dutch government as a senior policy advisor on bilateral investment treaties. He is an expert on international arbitration and investment law. He worked for the Dutch government for more than four years and he led the negotiations for several investment treaties; he was also the chief Dutch representative in the EU’s trade policy committee.","",""
"Ivan Rogers","https://corporateeurope.org/revolvingdoorwatch/cases/ivan-rogers","Barclays Capital","Head of the Public Sector Industry Group, UK and Ireland","UK Permanent Representative to the European Union (from Nov 2013); previously Prime Minister's Adviser on Europe and Global Issues (to Nov 2013)","UK Government","Finance","October, 2011","As a UK diplomat, Ivan Rogers is not subject to the EU revolving door rules. The UK has its own revolving door rules which govern UK civil servants when they leave the government, although these do not appear to apply to incoming appointees, only when officials leave government for a new external post.","Ivan Rogers is a seasoned UK diplomat who has had several spins through the revolving door before being appointed as the UK's Permanent Representative to the EU in September 2013 (to start in November 2013). He rejoined the UK government in October 2011 as David Cameron's Adviser on Europe and Global Issues, from Barclays Capital where he had been Head of the Public Sector Industry Group, UK and Ireland since 2010. Ivan Rogers also worked for Citigroup from 2006 to 2010 where he was the Head of UK (and Brussels institutions) Public Sector Group.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Suzy Renckens","https://corporateeurope.org/revolvingdoorwatch/cases/suzy-renckens","European Food Safety Authority","Head of GMO unit (for 5 years)","Regional Manager for Biotechnology Regulatory Affairs","Syngenta","Food","May, 2008","EFSA approved this role without restrictions.","Testbiotech complained about the way that the Renckens revolving door case was handled by EFSA and a very damning ruling by the European Ombudsman on this complaint was made on 23 May 2013. According to the Ombudsman's conclusions, EFSA “failed to fulfil the procedural obligations emanating from the applicable rules” and did not “acknowledge its failure to observe the relevant procedural rules and to carry out a sufficiently thorough assessment of the potential conflict of interests (…).” Furthermore “EFSA unduly restricted the scope of what might amount to a possible conflict of interest (...).” The Ombudsman also set out recommendations for how EFSA should handle such revolving door cases in the future. (Source: European Ombudsman's ruling 23 May 2013)","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Mogens Peter Carl","https://corporateeurope.org/revolvingdoorwatch/cases/mogens-peter-carl","DG Environment","Director-General","Senior Adviser","Kreab Gavin Anderson (lobby consultancy)","Environment","February, 2010","""I have the pleasure to inform you that there is no incompatibility between the prescribed regulations and the activities that you have described in your application dated 11/11/2009, and they can be authorised"".","Kreab is a major lobby consultancy which has “around 50 EU experts in our Brussels office focused on helping our clients to understand and influence EU decision making” with four fifths of its staff involved in activities covered by the lobby register. Information from EU Transparency Register, viewed 6 July 2012: http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=1078390517-54","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Bruno Dethomas","https://corporateeurope.org/revolvingdoorwatch/cases/bruno-dethomas","DG External Relations (now European External Action Service)","Head of Eastern Partnership Taskforce","Independent associate","G+ Europe (lobby consultancy)","Foreign affairs","March, 2011","""I have the pleasure to inform you that there exists no incompatibility between the prescribed regulations and these activities which you have described in your application of 15 March 2011 and they can be authorised"".","Mr Dethomas worked for the Commission for over 22 years from 1988.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Johan Gabrielsson","https://corporateeurope.org/revolvingdoorwatch/cases/johan-gabrielsson","DG Enlargement","Project Manager - EU Policies","Public Affairs Director","Swedish Match","Tobacco","October, 2011","The Commission did not screen Gabrielsson for conflicts of interest when he took up his post as a tobacco lobbyist. Gabrielsson was apparently a 'contract agent' which meant that he was not required to go through the 'revolving door' rules as he was deemed to have not had access to sensitive information. CEO considers that this is a major loophole in the rules.","Johan Gabrielsson was a ""Project Manager - EU Policies from 01.02.2005 to 31.01.2010"" in the European Commission's DG Enlargement (according to the Commission, via an access to documents request), working as a contract agent. He has been employed as Public Affairs Director at tobacco company Swedish Match since October 2011 (according to Gabrielsson's Linkedin page). Under the Staff Regulations, EU staff have a two year notification and screening period when they leave the Commission. But because DG Enlargement considered that Gabrielsson had not had access to ""sensitive information"" during his time with the Commission, he was exempted from the rules. Thus there has been no screening of potential conflicts of interest or permission given for Gabrielsson's new job as a tobacco lobbyist.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Xavier Luria","https://corporateeurope.org/revolvingdoorwatch/cases/xavier-luria","European Medicines Agency","Head of Sector Safety and Efficacy of Medicines","Consultant","Self-employed. Consultant/ Freelance for: Trial Form Support, NDA Partners, Oryzon, Kinesys Consulting Ltd. Other activities for: Univerity California San Francisco, IESE Business School of the University of Navarra, ASINFARMA, Andorra Ministry of Health","Health/Medicines","March, 2012","EMA authorised Dr Luria's new activities with the following conditions: Dr Luria shall, for a period of two years: ""refrain from holding any kind of managerial or executive role in pharmaceutical companies ... and also from providing guidance or advice with regard to any procedure concerning product development, assessment, supervision and evaluation, on any specific product with which he was previously involved directly or indirectly and which falls within the remit and the area of responsibilities assigned to EMA."" (EMA Executive Director's Opinion dated 26 July 2012.)","Dr Luria has told CEO ""In preparation of my departure I had a number of internal meetings in order to get clarifications regarding what was considered to be seen as potential conflict of interest with respect to my professional activities after leaving the Agency. I ... reiterate now my full commitment in following the EMA’ rules... In particular, I have not accepted proposals to join the pharmaceutical industry and I have rejected to contribute to products and procedures which were directly or indirectly under my responsibility at the Agency.""","",""
"Carl Haglund","https://corporateeurope.org/revolvingdoorwatch/cases/carl-haglund","European Parliament + Finnish government","Member of European Parliament (for 3 years) + defence minister","Board member","Miltton group","null","September, 2015","None. In the Finnish Parliament, where Haglund remains a sitting MP, there are no rules on conflicts of interest or revolving doors. The only requirement is to make a declaration of interest.","Carl Haglund (Finland, ALDE) was an MEP for three years from 2009 to 2012. During that time he sat on the fisheries committee (where he was vice-chair) and the budget committee; he was also a substitute member of the economic and monetary affairs committee (which has a history of revolving door moves; see this article) and the special committee on the financial, economic and social crisis which was set up after the financial crash of the late noughties. During this time he was rapporteur on several reports connected to fishery policy and one on macroeconomic imbalances in the eurozone.","",""
"Ann Mettler","https://corporateeurope.org/revolvingdoorwatch/cases/ann-mettler","The Lisbon Council + Global Agenda Council","Executive director + Vice-Chair","Head of the European Political Strategy Centre (EPSC)","European Commission","General","December, 2014","The Commission's Secretary General, Catherine Day told CEO that:","Before joining the European Political Strategy Centre (EPSC), Ann Mettler was mostly known for her work on promoting innovation and the digital economy as the executive director and co-founder of the Lisbon Council, a “Brussels-based think tank and policy network” set up in 2003. She complemented this position with her role as vice-chair of the Global Agenda Council on Europe of the World Economic Forum.","",""
"Eoin O'Malley","https://corporateeurope.org/revolvingdoorwatch/cases/eoin-omalley","BusinessEurope","Senior adviser on international relations","Policy officer","European Commission, DG Trade","Trade","June, 2010","The Commission has told CEO that it has no documents which indicate that Eoin O'Malley underwent an assessment of personal interests when he joined the Commission. The Commission points out that “the obligation to fill in a form upon recruitment by a candidate in order to examine any personal interest or potential conflicts of interest” only came into force on 1 January 2014.","For the four years to June 2010, O'Malley worked at BusinessEurope as a senior adviser on international relations. BusinessEurope is an umbrella group for corporate interests and is one of Brussels' biggest and most influential lobby groups. It registers 22 European Parliament staff lobbyists and a lobby expenditure of over €4,000,000 - €4,249,999 for 2014 according to the EU's transparency register.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Fanny-Pomme Langue","https://corporateeurope.org/revolvingdoorwatch/cases/fanny-pomme-langue","DG Energy","Policy Officer","Policy Director","European Biomass Association (AEBIOM)","Energy/Climate","January, 2013","The Commission did not screen Fanny-Pomme Langue for conflicts of interest when she took up her post as a bioenergy lobbyist.","From September 2009 till September 2012 Ms Langue worked as a Policy Officer in DG Energy Unit ""Regulatory Policy and Promotion of Renewable Energy"". According to her LinkedIn profile, her work included co-managing the drafting of the Commission's report on sustainability requirements for solid/gaseous biomass, and the monitoring of the implementation and compliance with the EU Renewable Energy Directive. She was in regular contact with major public and private stakeholders.","",""
"Louis Michel","https://corporateeurope.org/revolvingdoorwatch/cases/louis-michel","European Commission","Commissioner for development and humanitarian aid","Board member","Credimo","Finance","June, 2010","The move was approved by the Commission without reference to the ad hoc ethics committee and no restrictions were applied.","Louis Michel left the Commission in July 2009 after being elected as an MEP. In June 2010, he approached the Commission for authorisation to become a board member at Credimo, a Belgian mortgage and life insurance company. He resigned from the Credimo board six months later in January 2011 because","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Peter Skinner","https://corporateeurope.org/revolvingdoorwatch/cases/peter-skinner","European Parliament","Member of European Parliament (for 20 years)","Senior Advisor on EU/International relations.","Allianz SE","Finance","null","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","After former German health minister Daniel Bahr, ex-British MEP Peter Skinner is the next senior politician to join the major German insurance company Allianz SE.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Jean-Philippe Monod de Froideville","https://corporateeurope.org/revolvingdoorwatch/cases/jean-philippe-monod-de-froideville","DG Competition","Personal adviser to Commissioner Neelie Kroes (for 2 years)","Associate director for competition","Interel (lobby consultancy)","Competition","November, 2009","""I am pleased to inform you that the Appointing Authority gives you its approval to carry out this activity, as described in your request"".","Monod de Froideville was a member of Competition Commissioner Neelie Kroes’ cabinet where he advised on mergers and acquisitions in the financial services and health-related markets. When he left the Commission he set up his own consultancy called Monodceros, ""providing services in the following: public relations, lobbying, media contacts, advice regarding relations with the political authorities, the government and the European institutions"". Source: information from the National Bank of Belgium http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=fr&btw=0819021973&liste=Liste","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Anders Fogh Rasmussen","https://corporateeurope.org/revolvingdoorwatch/cases/anders-fogh-rasmussen","North Atlantic Treaty Organisation (NATO)","Secretary General","Consultant","Rasmussen Global","Security","October, 2014","NATO has told CEO via email that","Anders Fogh Rasmussen served as Secretary General of NATO for five years until 30 September 2014. According to NATO's website, the Secretary General is","",""
"Tibor Kiss","https://corporateeurope.org/revolvingdoorwatch/cases/tibor-kiss","Hungary Permanent Representation to the EU","Ambassador and Permanent Representative","Senior Political Adviser","PA Europe","General","November, 2011","None. As a former Hungarian diplomat, Tibor Kiss is not subject to the EU revolving door rules.","PA Europe says ""More than ever before PA Europe provides access and advice to European top level decision makers in Brussels and national capitals and develops tailor-made approaches for its clients on the basis of solid research and strategic analysis."" http://www.pa-europe.com/pa_europe/aboutus.htm","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Charlie McCreevy","https://corporateeurope.org/revolvingdoorwatch/cases/charlie-mccreevy","European Commission","Commissioner for internal market and services","Non-executive director","Ryanair, BNY Mellon, Sentenial and others","Finance","March, 2010","The Commission approved McCreevy’s role at Ryanair. He was restricted from advising Ryanair on cases about Ryanair that he had been consulted on whilst in office, but was left free to advise Ryanair, or lobby the Commission, on any other issue or case.","The former Irish finance minister Charlie McCreevy was internal market commissioner (2004-10) during a period of intense liberalisation in the financial sector and he should carry some of the blame for the vulnerable financial system which led to the financial bubble, its collapse and the ongoing economic crisis. The links between his former portfolio and his proposed role at NBNK investments (a new bank that aimed to purchase banking assets on sale in the aftermath of the financial crisis) were so stark that it prompted the Commission to threaten to issue a negative view (which had not happened before, or since) for the role. Ultimately, McCreevy withdrew his request, but only after trying to negotiate his way around the Commission’s concerns by delaying the date that his directorship would effectively start. However, the Commission rejected this option.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Arlene McCarthy","https://corporateeurope.org/revolvingdoorwatch/cases/arlene-mccarthy","European parliament","Member of European parliament (for 20 years)","Deputy chair for European strategy","Sovereign Strategy","General","July, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Arlene McCarthy was a Labour MEP for 20 years until she stepped down at the 2014 European elections. For the past five years, she was vice-chair of the European parliament's committee on economic and monetary affairs and she produced detailed reports on banking reform, insider dealing and on a range of other topics. In 2014, she received a parliamentarian of the year award for her work in economic and monetary affairs.","",""
"Connie Hedegaard","https://corporateeurope.org/revolvingdoorwatch/cases/connie-hedegaard","European Commission","Commissioner for climate action 2010-2014","Various (some unpaid)","KR Foundation, Danfoss, Volkswagen + other roles","Energy/Climate","January, 2015","At its meeting on 16 December 2014, the Commission authorised five new roles for Connie Hedegaard “provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union”. These roles were: chair of the board of the Kann Foundation; external member of the board of Århus University; chair of the Danish Ministry of Culture’s Public Service Committee; co-chair of the ‘R 20’ initiative; and chair of the OECD Round Table for Sustainable Development.","Connie Hedegaard was commissioner for climate action in the Barroso II Commission until October 2014. Prior to that she had been minister for climate change in the Danish government under Prime Minister Anders Fogh Rasmussen, who has also appeared on CEO’s RevolvingDoorWatch project. Since leaving the Commission, Hedegaard has taken a number of new roles.","",""
"Jan Eric Frydman","https://corporateeurope.org/revolvingdoorwatch/cases/jan-eric-frydman","Ekenberg & Andersson (current)","Lawyer & partner (current)","Special adviser for trade policy and transatlantic affairs","DG Trade","Trade","March, 2015","The Commission's Secretary-General, Catherine Day has told CEO that:","Jan Eric Frydman is a partner in the Swedish law firm Ekenberg & Andersson, where he leads the transatlantic practice. In March 2015, he was appointed special adviser for trade policy and transatlantic affairs to EU trade commissioner Cecilia Malmström, a position that grants him extraordinary access to the current negotiations on the Transatlantic Trade and Investment Partnership (TTIP). Frydman has been allowed to keep both positions simultaneously, raising concerns that potential conflict of interests have not been duly assessed.","",""
"Maria Damanaki","https://corporateeurope.org/revolvingdoorwatch/cases/maria-damanaki","European Commission","Commissioner for maritime affairs and fisheries","Global managing director for oceans","The Nature Conservancy","Maritime affairs","January, 2015","The Commission has authorised this role in its meeting on 13 January 2015 “provided Ms DAMANAKI abstained from lobbying the Commission and its departments on any issues with a potential link to her former portfolio on fisheries and maritime affairs for 18 months after leaving the Commission.” Documents released to CEO on this revolving doors case can be read here.","Maria Damanaki was maritime affairs and fisheries EU commissioner for over four years until October 2014. During this time she introduced and implemented the 'blue growth agenda for seas and oceans in Europe' and focussed on rebuilding depleted EU fish stocks.","",""
"Matt Hinde","https://corporateeurope.org/revolvingdoorwatch/cases/matt-hinde","UK government's Department of Energy and Climate Change","Head of EU Strategy","Senior Vice-President and Head of its energy practice","FleishmanHillard","Energy/Climate","October, 2015","The UK government authorised Hinde's move (under UK business appointment rules) to become a lobbyist but the authorities have steadfastly refused to provide any additional information on the conditions applied to the authorisation despite an appeal under UK freedom of information rules.","Matthew Hinde was Head of EU Strategy at the UK government's Department of Energy and Climate Change for the past two years until September 2015. The UK plays a key role in EU policy-making. It has a lot of weight in energy negotiations and is very active in championing industry interests in CCS, nuclear, and other areas. Hinde himself worked on key EU energy policy dossiers, including the 2030 Climate and Energy Framework and the Energy Union.","",""
"Laura Smillie","https://corporateeurope.org/revolvingdoorwatch/cases/laura-smillie","European Food Information Council (for 5 years)","Communications manager","Communications directorate","European Food Safety Authority","Food","May, 2010","There are no clear revolving door rules and procedures which govern staff who join the EU institutions. Article 11 of the Staff Regulations covers personal or private conflicts of interest for current staff although it is a far from water-tight process. In reply to a complaint letter from Testbiotech, Food & Water Europe and CEO, EFSA Executive Director Catherine Geslain-Laneelle wrote ""I did not find any breach of the related governing legal provisions"" with regards to Laura Smillie and Article 11.","One of Smillie’s responsibilities at EFSA is for ‘risk communication’ guidelines. This was also an area that she was responsible for at EUFIC. There the approach to risk communication was developed to serve the interests of the companies represented by EUFIC (including Coca-Cola, Danone, Kraft Foods, Mars, McDonald’s, Nestlé, and Unilever) ie. to limit the media impact of a food crisis and potential losses for the food industry.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Mårten Westrup","https://corporateeurope.org/revolvingdoorwatch/cases/m-rten-westrup-0","BusinessEurope","Adviser - Industrial Affairs Committee (climate change)","Energy policy & monitoring of electricity, gas, coal and oil markets","DG Energy","Energy/Climate","June, 2011","The revolving door rules and procedures which concern current and incoming staff who join the EU institutions are not robust. Article 11a of the Staff Regulations covers personal or private conflicts of interest for current staff although it seems to be a far from water-tight rule. The Commission has told CEO that Mr Westrup went through a standard selection process and that, under Article 11a and under his ""own initiative"", he emailed the human resources department of DG Energy to ""discuss any potential conflicts of interest"". They replied that ""no such conflicts exist"".","BusinessEurope represents major industry and business groups from across the EU and it has many interests in the work of the Commission including DG Enterprise, as well as in the specific work that Mårten Westrup was responsible for whilst he was at DG Enterprise. Fifty major companies “enjoy an important status within BusinessEurope” as they are (paying) members of BusinessEurope’s Corporate Advisory and Support Group. These include three car companies (Daimler, Hyundai, Toyota), plus a range of energy companies (Areva, BP Europe, Enel, ExxonMobil, GDF Suez and others). Source: BusinessEurope website: http://www.businesseurope.eu/content/default.asp?PageID=604 Viewed 4 July 2012.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Mårten Westrup","https://corporateeurope.org/revolvingdoorwatch/cases/m-rten-westrup","DG Enterprise (for 27 months)","Policy officer and Legal officer","Adviser - Industrial Affairs Committee (climate change)","BusinessEurope","Energy/Climate","October, 2010","The Commission did not examine Westrup’s job move under the revolving door rules. This is due to a decision by the Commission to exempt some contract staff from elements of the Staff Regulations. According to the Commission, Westrup did not have access to “sensitive information” during his time at the European Commission, which meant that he did not require the Commission’s permission to go through the revolving door. The Commission has also said that his work at the Commission was “highly technical” and that his duties at BusinessEurope were of a “different nature”. It also stated that his former Commission units were not involved in granting subsidies to BusinessEurope.","The Commission has said that Mårten Westrup was “transparent about his intention to work for BusinessEurope after leaving the Commission. He informed his superiors … before accepting the job offer”. Source: Letter from Thinam Jakob, European Commission to ALTER-EU dated 14 December 2011.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Corien Wortmann-Kool","https://corporateeurope.org/revolvingdoorwatch/cases/corien-wortmann-kool","European parliament","Member of European parliament (for 10 years)","Supervisory board member","Aegon NV + ABP","Finance","May, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Aegon is a major Dutch multinational working in the areas of life insurance, pensions and asset management.","",""
"Joao Pacheco","https://corporateeurope.org/revolvingdoorwatch/cases/joao-pacheco","European Commission, DG agriculture","Deputy director-general","Various","JSPacheco-International Consulting, Allen F. Johnson Associates, Farm Europe","Agriculture","October, 2013","In January 2014, the Commission refused to provide any information on this case to CEO on the grounds that","According to Pacheco's Linked-in profile (viewed 1 July 2015), he was deputy-director at DG agriculture for over two and half years and was responsible for the:","",""
"Luc Werring","https://corporateeurope.org/revolvingdoorwatch/cases/luc-werring","DG Transport and Energy (for 23 years)","Principal adviser to the Director-General","Senior adviser on transport, energy and environment","Hill & Knowlton (lobby consultancy)","Energy/Climate","December, 2007","""I have the pleasure of informing you that these activities can be authorised as long as you do not deal with affairs with which you have knowledge through your work at DG Tren and which risk being incompatible with the legitimate interests of the institution. In particular, you must abstain from working on or giving advice on any affairs which you worked on yourself or which the service under your responsibilty worked on. This particuarly concerns legislative dossiers or others which remain open"".","Hill & Knowlton’s clients include Cathay Pacific, European Express Association, Japan Automobile Manufacturers’ Association, Japan International Transport Institute, and the Port of Rotterdam, all of which are likely to have major interests in the Commission’s transport and energy policies. (Source: EU transparency register)","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Vincenzo Salvatore","https://corporateeurope.org/revolvingdoorwatch/cases/vincenzo-salvatore","European Medicines Agency","Head of Legal Service","Senior Counsel (European life sciences regulatory practice)","Sidley Austin LLP","Health/Medicines","June, 2012","Guido Rasi, Executive Director of the European Medicines Agency, quoted in the Financial Times on 5 July 2012 said: ""I have not approved any post-EMA activities for Vincenzo Salvatore. Before he left the Agency ... he indicated he was intending to work as an independent lawyer and as consultant for some law firms, but without providing any specific details."" Rasi went on to say that he has set up a review by a “joint committee” of the agency which will probe possible conflicts of interest arising from this case. Source: http://www.ft.com/intl/cms/s/0/c597b412-c6b4-11e1-95ea-00144feabdc0.html#axzz1zpLj12Db","Sidley Austin has told CEO that ""Sidley and Professor Salvatore have followed every procedure required regarding his departure from the EMA. Since we are awaiting the results as the EMA works through its process, it is not appropriate to comment further at this time."" (Email: 11 July 2012)","",""
"Benita Ferrero-Waldner","https://corporateeurope.org/revolvingdoorwatch/cases/benita-ferrero-waldner","European Commission","Commissioner for external relations and then trade","Supervisory board member","Munich Re, Gamesa Corporación Technologica, Alpine Holding","General","February, 2010","Approval was given to Ferrero-Waldner for all the roles for which she had sought permission.","Ferrero-Waldner had already started negotiating her future job with Munich Re while she was still in office, as her application for authorisation to the Commission was dated 29 October 2009 when in fact she did not leave the Commission until 9 February 2010. She officially joined the Munich Re board on 12 February 2010. Ferrero-Waldner's remuneration from Munich Re was €50,000 in 2011 and €80,000 in 2012.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Brian Simpson","https://corporateeurope.org/revolvingdoorwatch/cases/brian-simpson","European Parliament","Member of European Parliament (for 23 years)","Senior consultant","Hume Brophy","null","July, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Brian Simpson was first elected to the European Parliament in 1989 and served until 2004. In 2006 he was re-elected and kept his seat until stepping down in 2014. Simpson is well known for his work on transport issues. Before becoming an MEP he served as deputy chair of the Liverpool Airport and, between 2004 and 2006, he was a member of the Chartered Institute of Logistics and Transport and director of the North West Rail Campaign. As an MEP, he was one the longest serving member of the parliament's committee on transport and tourism (TRAN). He chaired this committee throughout his last mandate.","",""
"Michał Kamiński","https://corporateeurope.org/revolvingdoorwatch/cases/micha-kami-ski","European Parliament","Member of European Parliament (for 8 years)","Partner","Prism Group","General","October, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Michał Kamiński first became an MEP in 2004 although he stepped down in 2007 to join the Polish government as minister for media policy; this led the BBC to call him a “spin doctor”. He rejoined the European Parliament in 2009 and for the next two years he was chairman of the European Conservative and Reformists group (ECR).","",""
"Per Hellström","https://corporateeurope.org/revolvingdoorwatch/cases/hellstr-m","European commission, DG competition","Head of mergers for environment and energy","Senior Director Government and Regulatory Affairs, Competition Law and Policy in the EMEIA region","Apple Benelux BV","IT","February, 2014","The Commission has approved Per Hellström's request to undertake a sabbatical from DG Competition with Apple. The Commission has told CEO that","From June 2012 to February 2014, Per Hellström was head of mergers for environment and energy at DG Competition. However, from September 2007 to May 2012, he was head of DG Competition's antitrust unit dealing with information industries, internet and consumer electronics, which presumably would cover much of Apple's interests.","",""
"Herman Van Rompuy","https://corporateeurope.org/revolvingdoorwatch/cases/herman-van-rompuy","European Council","President","Chairman","TomorrowLab Advisory Board + European Policy Centre","Business/Industry","January, 2015","None. The Council has told CEO that: “There is no rule which establishes an obligation for the former president of the European Council to submit an application to undertake new professional activities.” The Council additionally said that Herman Van Rompuy's attention “was drawn to the obligations applicable to members of comparable EU institutions upon leaving high office”.","Herman Van Rompuy is a former Belgian prime minister who was also the first president of the European Council for five years until 30 November 2014. The president's role was a new one under the Lisbon Treaty and involves chairing the periodic summits of EU member state leaders and driving forward its work agenda. When he left the Council, it was announced that he would become chairman of the TomorrowLab Advisory Board.","",""
"Meglena Kuneva","https://corporateeurope.org/revolvingdoorwatch/cases/meglena-kuneva","European Commission","Commissioner for consumer protection","Non-executive member of the board","BNP Paribas","Finance","May, 2010","The Commission approved this role whilst setting-out a general requirement to “ensure full discretion with regard to the sensitive and confidential information acquired within the context of your functions as a member of the European Commission”.","When the Commission’s ad-hoc ethical committee was asked to look at Meglena Kuneva’s proposed move to become a member of the board at BNP Paribas, they found that it “could possibly present a link” with Kuneva’s previous responsibilities within the Commission, “notably concerning studies related to bank tariffs in Europe”. However, it further claimed “that such [a] situation would not create a conflict of interest” although no arguments were given to back this up. The Commission wrote back to Kuneva to say that they needed more information on the specific tasks she would undertake at BNP Paribas before they could formally approve it but that she might “conditionally accept the offer”.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Jörgen Holmquist","https://corporateeurope.org/revolvingdoorwatch/cases/j-rgen-holmquist","DG Internal Market and Services (MARKT)","Director General DG MARKT","“Senior advisory role” in financial services practice","Interel","Finance","October, 2012","Approved, with no formal restrictions imposed. Jörgen Holmquist was EU Commission Director General of DG Internal Market and Services (DG MARKT) January 2007 until June 2010. From September 2011 to May 2012 he was Advisor Hors Classe and Member the European Commission Task Force for Greece, finally retiring from the Commission in June 2012. Four months later he started as an advisor at Brussels lobby consultancy Interel's financial services practice, in October 2012. Despite being one of the highest-level financial policy makers, requesting to move to become an advisor in the financial services department of a Brussels lobby consultancy, his move was granted by the Commission, with no restrictions imposed other than referring to the activities that Holmquist himself stated he would not be involved in.","As MARKT Director General, Holmquist had the highest level of responsibility for developing the EU's regulatory response to the financial crisis. This included “preparation of the EU Roadmaps and Legislative program to deal with the financial crisis and specifically the restructuring of the regulatory/supervisory system, new legislation concerning bank capital, derivatives, credit-rating agencies, investment funds and many other related areas. He was a member of the EU Economic and Financial Committee and chaired the European Corporate Governance Forum. He represented the European Commission in the Financial Stability Board (FSB) and in bilateral contacts with the US, Brazil, China, India, Japan and Russia. During this period he was also responsible for the EU Single Market, particularly the free movement of services, capital and labour.”","",""
"David Carlander","https://corporateeurope.org/revolvingdoorwatch/cases/david-carlander","European Food Safety Authority","Scientific Officer working on guidance for assessing risk of nanotechnology in food","Director of Advocacy","Nanotechnology Industries Association","Food","September, 2011","“Your future engagement … is approved. In order to be compatible with EFSA's legitimate interest you are requested during the period of one year after taking up the new assignment not to be the reference contact point for EFSA on nanotechnology-related issues, to not to approach EFSA staff to gain access to non-public documents and information, and to respect potential conflicts of interest that may arise for EFSA in case you would approach EFSA experts for work assignments for your new employer”.","“Dr Carlander worked closely on the EFSA nano Opinion and presented it on behalf of EFSA at various meetings”. (Source: EU Food Policy 7 October 2011)","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Graham Watson","https://corporateeurope.org/revolvingdoorwatch/cases/graham-watson","European Parliament","Member of European Parliament (for 20 years)","Founder and managing director","Bagehot Ltd","General","October, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Sir Graham Watson was first elected to the European Parliament in 2004 and served four full terms, three of them representing the South West England and Gibraltar constituency. He lost his seat in the 2014 European elections.","",""
"Karin Riis-Jørgensen","https://corporateeurope.org/revolvingdoorwatch/cases/karin-riis-j-rgensen","European Parliament","Member of European Parliament (for 15 years)","Senior advisor","Kreab Gavin Anderson","Tobacco","null","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Riis-Jørgensen was an MEP for 15 years until she stepped down in May 2009; during this time she sat on the committee for internal market and consumer protection, amongst others.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
